store,week_start,department,sku,name,pack_size,price,price_unit,unit_price,unit_price_label,save_amount,price_text,save_text,labels,is_featured,product_url
blue-oaks,2026-09-16,meat,5331-761,USDA Prime Beef T‑Bone Steaks,,18.99,lb,1.1869,$1.19/oz,8,$18.99/lb.,Save $8/lb.,,yes,https://www.nuggetmarket.com/specials/meat/5331-761/
blue-oaks,2026-09-16,produce,3283,Honeycrisp Apples,,1.99,lb,0.1244,$0.12/oz,2,$1.99/lb.,Save $2/lb.,,yes,https://www.nuggetmarket.com/specials/produce/3283/
blue-oaks,2026-09-16,specialty-cheese,23333500000,Cambozola,,18.99,lb,1.1869,$1.19/oz,3,$18.99/lb.,Save $3/lb.,Imported; Vegetarian,yes,https://www.nuggetmarket.com/specials/specialty-cheese/23333500000/
blue-oaks,2026-09-16,produce,3094,Moon Drop Grapes,,3.99,lb,0.2494,$0.25/oz,2,$3.99/lb.,Save $2/lb.,California Grown,no,https://www.nuggetmarket.com/specials/produce/3094/
blue-oaks,2026-09-16,produce,3440,Extra Large Pomegranates,,5.99,ea,,,1,$5.99/ea.,Save $1/ea.,California Grown,no,https://www.nuggetmarket.com/specials/produce/3440/
blue-oaks,2026-09-16,produce,4050,Cantaloupes,,2.99,ea,,,2,$2.99/ea.,Save $2/ea.,Local,no,https://www.nuggetmarket.com/specials/produce/4050/
blue-oaks,2026-09-16,produce,4381,Blood Oranges,,3.49,lb,0.2181,$0.22/oz,0.5,$3.49/lb.,Save 50¢/lb.,,no,https://www.nuggetmarket.com/specials/produce/4381/
blue-oaks,2026-09-16,produce,4401,White Peaches,,4.49,lb,0.2806,$0.28/oz,0.5,$4.49/lb.,Save 50¢/lb.,California Grown,no,https://www.nuggetmarket.com/specials/produce/4401/
blue-oaks,2026-09-16,produce,93277,Organic Baby Broccoli,,2.99,ea,,,1,$2.99/ea.,Save $1/ea.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/93277/
blue-oaks,2026-09-16,produce,93603,Organic SweeTango Apples,,2.99,lb,0.1869,$0.19/oz,1,$2.99/lb.,Save $1/lb.,Organic,no,https://www.nuggetmarket.com/specials/produce/93603/
blue-oaks,2026-09-16,produce,94759,Organic Butternut Squash,,1.49,lb,0.0931,$0.093/oz,1,$1.49/lb.,Save $1/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/produce/94759/
blue-oaks,2026-09-16,produce,40720,Organic Green Mangos,,3.99,ea,,,1,$3.99/ea.,Save $1/ea.,California Grown; Organic,no,https://www.nuggetmarket.com/specials/produce/40720/
blue-oaks,2026-09-16,meat,2418-578,Grass-fed Beef Brisket,,16.99,lb,1.0619,$1.06/oz,2,$16.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/2418-578/
blue-oaks,2026-09-16,meat,7274506369,Ground Chicken,,4.99,ea,,,2,$4.99,Save $2,,no,https://www.nuggetmarket.com/specials/meat/7274506369/
blue-oaks,2026-09-16,meat,20012400000,Thin-Sliced Boneless & Skinless Chicken Breasts,,7.99,lb,0.4994,$0.50/oz,2,$7.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/20012400000/
blue-oaks,2026-09-16,meat,20062000000,Organic Chicken Party Wings,,4.99,lb,0.3119,$0.31/oz,2,$4.99/lb.,Save $2/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/meat/20062000000/
blue-oaks,2026-09-16,meat,20088400000,Organic Boneless & Skinless Chicken Breasts,,8.99,lb,0.5619,$0.56/oz,1.8,$8.99/lb.,Save $1.80/lb.,Local; Organic,no,https://www.nuggetmarket.com/specials/meat/20088400000/
blue-oaks,2026-09-16,meat,20242000000,Grass-Fed Beef Tri‑Tip Roasts,,19.99,lb,1.2494,$1.25/oz,2,$19.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/20242000000/
blue-oaks,2026-09-16,meat,20423300000,Homestyle Meatloaf,,8.99,lb,0.5619,$0.56/oz,2,$8.99/lb.,Save up to $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/20423300000/
blue-oaks,2026-09-16,meat,20901300000,Peeled & Deveined Prawns,,13.99,lb,0.8744,$0.87/oz,3,$13.99/lb.,Save $3/lb.,,no,https://www.nuggetmarket.com/specials/meat/20901300000/
blue-oaks,2026-09-16,meat,81836002008,Grass-Fed Beef New York Strip Steak,,16.99,ea,,,8,$16.99/ea.,Save $8/ea.,,no,https://www.nuggetmarket.com/specials/meat/81836002008/
blue-oaks,2026-09-16,meat,81836002085,Steakhouse Blend Burger Patties,,16.99,ea,,,2,$16.99,Save $2,,no,https://www.nuggetmarket.com/specials/meat/81836002085/
blue-oaks,2026-09-16,meat,5065-566,Atlantic Salmon Fillets,,12.99,lb,0.8119,$0.81/oz,2,$12.99/lb.,Save $2/lb.,,no,https://www.nuggetmarket.com/specials/meat/5065-566/
blue-oaks,2026-09-16,staples,4256301877,Woodstock Organic Banana Water,,2.5,ea,,,1.49,2/$5+crv,Save $2.98 on 2,Organic,no,https://www.nuggetmarket.com/specials/staples/4256301877/
blue-oaks,2026-09-16,staples,4856407104,Guerrero Riquísimas Flour Tortillas,,4.99,ea,,,2.5,$4.99,Save $2.50,,no,https://www.nuggetmarket.com/specials/staples/4856407104/
blue-oaks,2026-09-16,staples,7102231479,Mariani Ultimate Apricots,,4.99,ea,,,2,$4.99,Save $2,,no,https://www.nuggetmarket.com/specials/staples/7102231479/
blue-oaks,2026-09-16,staples,7885852044,La Tortilla Factory Light Flour Tortilla,,3.99,ea,,,1.5,$3.99,Save $1.50,Local; Non GMO,no,https://www.nuggetmarket.com/specials/staples/7885852044/
blue-oaks,2026-09-16,staples,7885852510,La Tortilla Factory Grain Free Cauliflower Tortillas,,5.99,ea,,,2,$5.99,Save $2,Gluten Free; Local; Non GMO,no,https://www.nuggetmarket.com/specials/staples/7885852510/
blue-oaks,2026-09-16,staples,85003844222,Nguyen Vietnamese Espresso Ground Coffee,,13.99,ea,,,4,$13.99,Save $4,,no,https://www.nuggetmarket.com/specials/staples/85003844222/
blue-oaks,2026-09-16,staples,86000914671,Coaqua Coconut Water,,5.99,ea,,,6,$5.99+crv,Save $6,,no,https://www.nuggetmarket.com/specials/staples/86000914671/
blue-oaks,2026-09-16,adult-beverages,8115890002,Red Tail Ale 4‑Pack,,11.99,ea,,,4,$11.99+crv,Save $4,Local,no,https://www.nuggetmarket.com/specials/adult-beverages/8115890002/
